,game_id,event,player_name
117,258876da-9b27-426a-b5c3-5f458dc68c84,FIDE-Wch k.o. g/25+10,"Khalifman, Alexander"
118,2588a54f-98ee-43b6-b101-8c753d03f143,FIDE WCh KO,"Sutovsky,E"
119,258b3035-6472-4c50-9716-8fbdbec6be8e,FIDE WCh KO,"Vaganian,R"
120,25c3a0c6-40e9-4aeb-85ec-7b8bf3a34899,FIDE-Wch k.o.,"Milov, Vadim"
121,25dcaf58-8d11-4f02-811d-e7504fc4d989,FIDE-Wch k.o.,"Nisipeanu, Liviu Dieter"
122,265e237d-8f8a-4049-9432-2a0b45c1c802,WCh,"Kramnik,V"
123,26cd51c2-c3c9-4328-8c3b-e26b3060202f,World Championship 18th,"Botvinnik, Mikhail"
124,271f8de9-3f0a-4256-a7c4-b7856a83c9be,World Championship 17th,"Alekhine, Alexander"
125,27597ed2-f910-48a4-8c79-699b5b99ca05,FIDE WCh KO,"Vallejo Pons,F"
126,2762a2d6-5e1b-4019-9706-0fdd90b3e33e,FIDE WCh KO,"Nevednichy,V"
127,278ef7b7-41ab-46b0-af4a-09964d32d28a,FIDE-Wch k.o. g/25+10,"Zubarev, Alexander"
128,2792a715-2339-41ad-90b6-adffe121eab0,World Championship 15th,"Alekhine, Alexander"
129,2794635a-f82f-406d-82ac-4c4763df8eb7,FIDE WCh KO,"Ponomariov,R"
130,288d0850-57ff-4426-9523-fc1fe10cbe3f,FIDE WCh KO,"Sulskis,S"
131,28c8eaff-cc9b-4bf4-97cb-d1fb3efdf453,FIDE WCh KO,"Akopian,Vl"
132,28cefe43-a2e4-48d4-89ef-8eb99ca26b49,FIDE WCh KO,"El Taher,F"
133,2902689a-2294-4c47-b636-c153488350ac,FIDE WCh KO,"Adams,Mi"
134,291aba1f-80ad-45da-951c-b5882a82b148,FIDE WCh KO,Zhang Pengxiang
135,295e818b-904b-4b81-9d84-a8cc8bd3bd8a,FIDE-Wch k.o.,"Krasenkow, Michal"
136,29dd63e9-1ca8-4ba8-8385-fbd5163494a5,World Championship 27th,"Petrosian, Tigran V"
137,29ea99df-ba84-4bdd-b2e9-cc87f670ee29,FIDE-Wch k.o.,"Tkachiev, Vladislav"
138,2a068249-43a0-4f97-812c-ad21ac4cf1de,FIDE-Wch k.o.,"Nijboer, Friso"
139,2a445f85-12f4-4179-bccf-f2ab6d027ca9,FIDE WCh KO,"Beliavsky,A"
140,2a7bca22-9ee4-4763-8d4b-26704452470b,FIDE WCh KO,"Adams,Mi"
141,2ac47204-e27e-40c8-8a29-d6f5121748a4,FIDE-Wch k.o.,"Adams, Michael"
142,2b3544d7-2a9a-43ff-a67b-3c5a88edc8d5,FIDE WCh KO,"Radziewicz,I"
143,2b8ae2d7-a5d8-472f-b389-c1c4d1c74299,WCh,"Gelfand,B"
144,2c09e820-3afa-4a27-b6a4-4638e4481fd3,WCh,"Kramnik,V"
145,2c36f39f-4401-4985-a8cc-1e2a7072cb45,FIDE-Wch k.o.,"Glek, Igor V"
146,2c715dbf-e944-4083-b7c5-21619a180189,WCh-FIDE,"Polgar,Ju"
147,2c7b02d5-2304-4fdd-aa49-7b36645465cc,FIDE WCh KO,"Topalov,V"
148,2cd963f9-c44b-4b8e-b752-0f831baf8cc3,FIDE WCh KO,"Kharlov,A"
149,2ce225c5-b4a8-4df3-93a0-f79984d21b8d,FIDE WCh KO,"Kobalia,M"
150,2d8e4c69-622f-4715-b8da-ef77a9ee531d,FIDE WCh KO,"Van Wely,L"
151,2ee4e113-50d9-4c5d-b282-6731d1ba6d86,FIDE-Wch k.o.,"Bareev, Evgeny"
